plant_code,plant_name,latitude,longitude,city,state
283,Spaulding 3,39.337679,-120.635467,Emigrant Gap,CA
284,Spring Gap,38.18653,-120.11168,Long Barn,CA
285,Stanislaus,38.139048,-120.370325,Vallecito,CA
286,Geysers Unit 5-20,38.777,-122.745,Middletown,CA
287,Tiger Creek,38.449291,-120.492645,Pioneer,CA
289,Tule River,36.163076,-118.707104,Springville,CA
290,Volta 1,40.459111,-121.86708,Manton,CA
291,West Point PH,38.420898,-120.549572,Pioneer,CA
292,Wise,38.889862,-121.098525,Auburn,CA
293,A G Wishon,37.15105,-119.504724,North Fork,CA
294,Copco 1,41.978914,-122.335317,Hornbrook,CA
295,Copco 2,41.975716,-122.358127,Hornbrook,CA
296,Fall Creek,41.985605,-122.360455,Hornbrook,CA
297,Iron Gate,41.932981,-122.43678,Hornbrook,CA
298,Limestone,31.4219,-96.2525,Jewett,TX
299,Blundell,38.4889,-112.8533,Milford,UT
300,Division,32.681667,-117.120277,San Diego,CA
301,El Cajon,32.7958,-116.9722,El Cajon,CA
302,Encina,33.1361,-117.3364,Carlsbad,CA
303,Kearny,32.834,-117.1338,San Diego,CA
305,Miramar,32.8761,-117.1664,San Diego,CA
306,Naval Station,32.681667,-117.120277,San Diego,CA
307,North Island,32.705,-117.190277,Coronado,CA
309,Silver Gate,32.697222,-117.114722,,CA
312,Refuse & Coal,39.902222,-83.024444,COLUMBUS,OH
313,Green Lake,56.986284,-135.12275,Sitka,AK
314,Drop 5,32.673097,-115.392026,Calexico,CA
315,AES Alamitos LLC,33.7688,-118.1009,Long Beach,CA
316,Sepulveda Canyon,34.0969,-118.4795,Los Angeles,CA
317,Big Creek 1,37.2042,-119.2396,Big Creek,CA
318,Big Creek 2,37.2,-119.3069,Auberry,CA
319,Big Creek 3,37.148517,-119.386623,Auberry,CA
320,Big Creek 4,37.139,-119.4898,North Fork,CA
321,Big Creek 8,37.2096,-119.3289,Auberry,CA
322,Big Creek 2A,37.200062,-119.30681,Auberry,CA
323,Bishop Creek 2,37.273581,-118.573339,Bishop,CA
324,Bishop Creek 3,37.301962,-118.531957,Bishop,CA
325,Bishop Creek 4,37.323035,-118.501714,Bishop,CA
326,Bishop Creek 5,37.3344,-118.4797,Bishop,CA
327,Bishop Creek 6,37.3499,-118.4628,Bishop,CA
328,Borel,35.588069,-118.524804,Lake Isabella,CA
329,Coolwater,34.8606,-116.8539,Daggett,CA
330,El Segundo Power,33.909804,-118.424172,El Segundo,CA
331,Etiwanda Generating Station,34.09118,-117.52663,Rancho Cucamonga,CA
332,Fontana,34.155162,-117.397119,Rialto,CA
335,AES Huntington Beach LLC,33.6439,-117.9792,Huntington Beach,CA
336,Kaweah 2,36.461326,-118.87988,Three Rivers,CA
337,Kaweah 1,36.465066,-118.862023,Three Rivers,CA
338,Kaweah 3,36.486059,-118.835645,Three Rivers,CA
339,Kern River 3,35.776185,-118.436233,Kernville,CA
340,Kern River 1,35.460303,-118.77959,Bakersfield,CA
341,Long Beach Generation LLC,33.7641,-118.2248,Long Beach,CA
342,Lundy,38.042729,-119.172015,Lee Vining,CA
344,Mammoth Pool,37.220302,-119.337983,North  Fork,CA
345,Mandalay,34.2067,-119.2511,Oxnard,CA
350,Ormond Beach,34.1292,-119.1689,Oxnard,CA
353,Poole,37.944237,-119.2161,Lee Vining,CA
354,Portal,37.257045,-119.158936,Lakeshore,CA
356,AES Redondo Beach LLC,33.8504,-118.395,Redondo Beach,CA
357,Rush Creek,37.766954,-119.123284,June lake,CA
358,Mountainview Generating Station,34.0818,-117.2418,Redlands,CA
360,San Onofre Nuclear Generating Station,33.368794,-117.554916,San Clemente,CA
361,Santa Ana 1,34.14522,-117.058481,Highlands,CA
363,Santa Ana 3,34.107245,-117.099091,Highlands,CA
365,Lower Tule River,36.13568,-118.788868,Springdale,CA
371,Columbia Generating Station,46.4711,-119.3339,Richland,WA
375,Magnolia,34.178056,-118.315556,Burbank,CA
376,Pardee,38.2569,-120.8507,Valley Spings,CA
377,Grayson,34.1556,-118.2782,Glendale,CA
378,Prairie River,47.287206,-93.498266,Grand Rapids,MN
380,Dion R Holm,37.896649,-119.9675,Groveland,CA
381,Moccasin,37.809388,-120.299254,Moccasin,CA
382,R C Kirkwood,37.877667,-119.953233,Groveland,CA
383,Brawley,32.968889,-115.534444,Brawley,CA
384,Joliet 29,41.494636,-88.123827,Joliet,IL
385,Drop 2 (CA),32.705435,-115.030975,Holtville,CA
386,Drop 3 (CA),32.705428,-115.126103,Holtville,CA
387,Drop 4,32.705341,-115.219067,Holtville,CA
388,Pilot Knob,32.736642,-114.713858,Winterhaven,CA
389,El Centro,32.802222,-115.54,El Centro,CA
390,Solomon Gulch,61.0828,-146.3033,Valdez,AK
391,Big Pine Creek,37.142795,-118.324075,Big Pine,CA
392,Castaic,34.587237,-118.656638,Castaic,CA
393,Control Gorge,37.437921,-118.556988,Bishop,CA
394,Cottonwood,36.443421,-118.04389,Lone Pine,CA
396,Foothill,34.318248,-118.494449,San Fernando,CA
397,Franklin (CA),34.103931,-118.413377,Beverley Hills,CA
398,Haiwee,36.109722,-117.956667,Olancha,CA
399,Harbor,33.7856,-118.2644,Wilmington,CA
